         pwr       psd        mean    1stptile    99thptile meantest 1stptiletest 99ptiletest         min          max       std meanerror  minerror  maxerror ptile1sterror ptile99therror   stderror
0   Baseline  Baseline  998.196419  996.450667  1000.180000      N/A          N/A         N/A  996.316667  1000.563333  1.013305       N/A       N/A       N/A           N/A            N/A        N/A
1        -15     -43.5  998.177778  996.675767  1000.248600     PASS         PASS        PASS  996.603333  1000.333333  1.003691  0.001867 -0.028773  0.022987      -0.02259      -0.006859   0.948795
2        -14     -42.5  998.217540  996.720300  1000.559767     PASS         PASS        PASS  996.653333  1000.733333  0.880952 -0.002116 -0.033791  -0.01699     -0.027059       -0.03797  13.061525
3        -13     -41.5  998.461746  996.771433  1000.413267     PASS         PASS        PASS  996.466667  1000.580000  0.947585 -0.026581 -0.015055 -0.001666     -0.032191      -0.023322   6.485725
4        -12     -40.5  998.317698  996.877767  1000.149333     PASS         PASS        PASS  996.860000  1000.176667  1.060242  -0.01215 -0.054534  0.038645     -0.042862       0.003066  -4.632054
5        -11     -39.5  998.136190  996.617600   999.899833     PASS         PASS        PASS  996.606667   999.906667  0.970324  0.006034 -0.029107   0.06563     -0.016753       0.028012   4.241698
6        -10     -38.5  998.187619  996.452967  1000.310533     PASS         PASS        PASS  996.276667  1000.343333  1.081258  0.000882  0.004015  0.021988     -0.000231      -0.013051  -6.706039
7         -9     -37.5  998.408254  996.937933  1000.067633     PASS         PASS        PASS  996.776667  1000.110000  0.899958 -0.021222  -0.04617  0.045308       -0.0489       0.011235   11.18592
8         -8     -36.5  998.298968  996.634500  1000.373100     PASS         PASS        PASS  996.586667  1000.546667  0.968466 -0.010273   -0.0271  0.001666     -0.018449      -0.019307      4.425
9         -7     -35.5  998.174365  997.006300  1000.243533     PASS         PASS        PASS  996.966667  1000.700000  0.874123  0.002209  -0.06524 -0.013659     -0.055761      -0.006352  13.735442
10        -6     -34.5  998.171190  996.773467   999.891900     PASS         PASS        PASS  996.713333   999.923333  0.872434  0.002527 -0.039813  0.063964     -0.032395       0.028805  13.902126
11        -5     -33.5  998.288016  996.372800  1000.348633     PASS         PASS        PASS  996.203333  1000.350000  1.033317 -0.009176  0.011375  0.021321      0.007814       -0.01686  -1.974895
12        -4     -32.5  998.242619  996.632200  1000.147500     PASS         PASS        PASS  996.460000  1000.386667  0.882254 -0.004628 -0.014386  0.017657     -0.018218       0.003249  12.933006
13        -3     -31.5  998.277857  996.459967  1000.468500     PASS         PASS        PASS  996.406667  1000.666667  1.009995 -0.008159 -0.009033 -0.010328     -0.000933      -0.028845    0.32664
14        -2     -30.5  998.246429  996.659567  1000.896367     PASS         PASS        PASS  996.513333  1001.373333  1.008212  -0.00501 -0.019739 -0.080954     -0.020964      -0.071624   0.502632
15        -1     -29.5  998.196984  996.496233  1000.195667     PASS         PASS        PASS  996.486667  1000.373333  1.011589 -0.000057 -0.017063  0.018989     -0.004573      -0.001566   0.169316
16         0     -28.5  998.192460  996.771267  1000.263200     PASS         PASS        PASS  996.610000  1000.323333  0.942302  0.000397 -0.029442  0.023986     -0.032174      -0.008319   7.007094
17         1     -27.5  998.257381  996.699767  1000.431800     PASS         PASS        PASS  996.600000  1000.576667  0.952098 -0.006107 -0.028438 -0.001333     -0.024999      -0.025175   6.040305
18         2     -26.5  998.232063  996.618533   999.975133     PASS         PASS        PASS  996.596667   999.983333  1.027315 -0.003571 -0.028104  0.057967     -0.016846       0.020483  -1.382594
19         3     -25.5  998.122381  996.289567  1000.077300     PASS         PASS        PASS  996.143333  1000.133333  1.037538  0.007417  0.017397  0.042976      0.016167       0.010268  -2.391503
