,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,95.97587685950414,95.65191999999999,96.25007000000001,N/A,N/A,N/A,95.58525,96.25975,0.16773633278170516,N/A,N/A,N/A,N/A,N/A,N/A
1,-15,-43.5,95.97958095238096,95.6715175,96.276457,PASS,PASS,PASS,95.6544,96.29175,0.15439798548239653,-0.003859399880491518,-0.07234379781398634,-0.03324338573494787,-0.020488349841804816,-0.02741504499683533,7.951972645465774
2,-14,-42.5,95.97912857142856,95.7021305,96.319018,PASS,PASS,PASS,95.67505,96.35805,0.1732630634721757,-0.0033880512799903785,-0.09394754943884832,-0.1021195255545635,-0.05249293479943289,-0.07163423361665273,-3.2948918095539432
3,-13,-41.5,95.97341666666667,95.64943249999999,96.27214,PASS,PASS,PASS,95.63989999999998,96.27255,0.169952284791029,0.0025633449966561907,-0.05717409328320111,-0.013297354293979146,0.002600575085163857,-0.02292985345359765,-1.321092438695269
4,-12,-40.5,95.99332142857142,95.6550235,96.31174049999998,PASS,PASS,PASS,95.65365,96.32525,0.17762352148089797,-0.01817599342469804,-0.07155915792446733,-0.06804505517622902,-0.0032445767947039727,-0.06407320015453169,-5.894482450656744
5,-11,-39.5,95.98033452380953,95.65329150000001,96.298986,PASS,PASS,PASS,95.64175000000002,96.3258,0.1891235305709488,-0.0046445674176198905,-0.05910953834405829,-0.06861642586855271,-0.0014338447153166972,-0.05082178122051371,-12.750486095983327
6,-10,-38.5,95.96373452380952,95.59948050000001,96.3182635,PASS,PASS,PASS,95.56010000000002,96.33165,0.1752152674214549,0.012651445438101379,0.02631159096197608,-0.07469373232321859,0.05482325916717313,-0.07085033808286317,-4.458744575919014
7,-9,-37.5,95.99249166666668,95.63997649999999,96.260473,PASS,PASS,PASS,95.60649999999998,96.2624,0.16122026778893297,-0.017311440860146455,-0.022231463536456383,-0.002752967881178484,0.012486419509405558,-0.010808303827723563,3.8847069592562873
8,-8,-36.5,95.97172142857143,95.634047,96.2918915,PASS,PASS,PASS,95.6272,96.3152,0.1812608853393552,0.004329661857422287,-0.043887524487303146,-0.05760455434385353,0.018685458692302755,-0.04345087749026833,-8.062983334237495
9,-7,-35.5,95.9377642857143,95.588838,96.27146450000001,PASS,PASS,PASS,95.5594,96.30285,0.18613314054851485,0.03971057627911803,0.027043921525554914,-0.044774685161772895,0.06594953870240589,-0.02222803578220726,-10.967694036062895
10,-6,-34.5,95.9486119047619,95.64909600000001,96.288476,PASS,PASS,PASS,95.62425000000002,96.30135,0.18770503060215538,0.02840813299590726,-0.040801274255196994,-0.043216401455439604,0.0029523714735423118,-0.039902308642471455,-11.904813637745264
11,-5,-33.5,95.96599761904761,95.57738099999999,96.33425749999999,PASS,PASS,PASS,95.5593,96.3483,0.1951337971102923,0.010293462044623166,0.027148540177494747,-0.091990681463434,0.07792734322531264,-0.08746746885481177,-16.33364929006923
12,-4,-32.5,95.9424619047619,95.5916335,96.2831185,PASS,PASS,PASS,95.5878,96.2881,0.18537646067366054,0.03481599318040757,-0.00266777562437655,-0.02945156204956195,0.06302696276247197,-0.034336078924402325,-10.516581350870792
13,-3,-31.5,95.94861190476192,95.56069950000001,96.3221445,PASS,PASS,PASS,95.5353,96.33385,0.20576866000483365,0.028408132995892448,0.052257016642207346,-0.07697921509249857,0.09536713952001935,-0.07488254294255074,-22.67387547611667
14,-2,-30.5,95.95030595238094,95.582817,96.245204,PASS,PASS,PASS,95.57105,96.24545,0.1919790925489029,0.026643056526202514,0.014855848574965733,0.014855638000297674,0.07224423723014045,0.005055580738805613,-14.452897213836003
15,-1,-29.5,95.95225952380953,95.5822315,96.278628,PASS,PASS,PASS,95.54855,96.28855,0.2085446703735936,0.024607574806721787,0.0383950452606403,-0.02991904716146046,0.07285635249139154,-0.029670627772000215,-24.328860012098318
16,0,-28.5,95.93640119047619,95.625988,96.2776305,PASS,PASS,PASS,95.5986,96.2854,0.18512597902051425,0.041130824035854184,-0.01396659003350688,-0.026646651378170877,0.027110799239558593,-0.028634264889358284,-10.367250762206817
17,1,-27.5,95.94747857142858,95.5633195,96.352278,PASS,PASS,PASS,95.49405,96.37655,0.2094586195650699,0.02958898527922359,0.0954122105659614,-0.12133835793257078,0.09262804133987494,-0.1061900526409906,-24.87373253692318
18,2,-26.5,95.95386428571429,95.6478415,96.26550900000001,PASS,PASS,PASS,95.63015,96.28605,0.18949059610031702,0.022935527666055916,-0.04697377471942416,-0.027321907650919738,0.004263897682337622,-0.016040507814696285,-12.969320932348754
19,3,-25.5,95.94680476190476,95.558828,96.25040249999999,PASS,PASS,PASS,95.55235,96.2585,0.19955161500208785,0.03029104661574469,0.034419536487060434,0.001298569755270363,0.09732371289565794,-0.0003454542941992123,-18.967436388267544
