         pwr       psd       mean   1stptile  99thptile meantest 1stptiletest 99ptiletest       min       max       std meanerror  minerror  maxerror ptile1sterror ptile99therror   stderror
0   Baseline  Baseline  95.975877  95.651920  96.250070      N/A          N/A         N/A  95.58525  96.25975  0.167736       N/A       N/A       N/A           N/A            N/A        N/A
1        -15     -43.5  95.979581  95.671517  96.276457     PASS         PASS        PASS  95.65440  96.29175  0.154398 -0.003859 -0.072344 -0.033243     -0.020488      -0.027415   7.951973
2        -14     -42.5  95.979129  95.702130  96.319018     PASS         PASS        PASS  95.67505  96.35805  0.173263 -0.003388 -0.093948  -0.10212     -0.052493      -0.071634  -3.294892
3        -13     -41.5  95.973417  95.649432  96.272140     PASS         PASS        PASS  95.63990  96.27255  0.169952  0.002563 -0.057174 -0.013297      0.002601       -0.02293  -1.321092
4        -12     -40.5  95.993321  95.655023  96.311740     PASS         PASS        PASS  95.65365  96.32525  0.177624 -0.018176 -0.071559 -0.068045     -0.003245      -0.064073  -5.894482
5        -11     -39.5  95.980335  95.653292  96.298986     PASS         PASS        PASS  95.64175  96.32580  0.189124 -0.004645  -0.05911 -0.068616     -0.001434      -0.050822 -12.750486
6        -10     -38.5  95.963735  95.599481  96.318264     PASS         PASS        PASS  95.56010  96.33165  0.175215  0.012651  0.026312 -0.074694      0.054823       -0.07085  -4.458745
7         -9     -37.5  95.992492  95.639976  96.260473     PASS         PASS        PASS  95.60650  96.26240  0.161220 -0.017311 -0.022231 -0.002753      0.012486      -0.010808   3.884707
8         -8     -36.5  95.971721  95.634047  96.291892     PASS         PASS        PASS  95.62720  96.31520  0.181261   0.00433 -0.043888 -0.057605      0.018685      -0.043451  -8.062983
9         -7     -35.5  95.937764  95.588838  96.271465     PASS         PASS        PASS  95.55940  96.30285  0.186133  0.039711  0.027044 -0.044775       0.06595      -0.022228 -10.967694
10        -6     -34.5  95.948612  95.649096  96.288476     PASS         PASS        PASS  95.62425  96.30135  0.187705  0.028408 -0.040801 -0.043216      0.002952      -0.039902 -11.904814
11        -5     -33.5  95.965998  95.577381  96.334257     PASS         PASS        PASS  95.55930  96.34830  0.195134  0.010293  0.027149 -0.091991      0.077927      -0.087467 -16.333649
12        -4     -32.5  95.942462  95.591634  96.283119     PASS         PASS        PASS  95.58780  96.28810  0.185376  0.034816 -0.002668 -0.029452      0.063027      -0.034336 -10.516581
13        -3     -31.5  95.948612  95.560700  96.322144     PASS         PASS        PASS  95.53530  96.33385  0.205769  0.028408  0.052257 -0.076979      0.095367      -0.074883 -22.673875
14        -2     -30.5  95.950306  95.582817  96.245204     PASS         PASS        PASS  95.57105  96.24545  0.191979  0.026643  0.014856  0.014856      0.072244       0.005056 -14.452897
15        -1     -29.5  95.952260  95.582232  96.278628     PASS         PASS        PASS  95.54855  96.28855  0.208545  0.024608  0.038395 -0.029919      0.072856      -0.029671  -24.32886
16         0     -28.5  95.936401  95.625988  96.277631     PASS         PASS        PASS  95.59860  96.28540  0.185126  0.041131 -0.013967 -0.026647      0.027111      -0.028634 -10.367251
17         1     -27.5  95.947479  95.563320  96.352278     PASS         PASS        PASS  95.49405  96.37655  0.209459  0.029589  0.095412 -0.121338      0.092628       -0.10619 -24.873733
18         2     -26.5  95.953864  95.647841  96.265509     PASS         PASS        PASS  95.63015  96.28605  0.189491  0.022936 -0.046974 -0.027322      0.004264      -0.016041 -12.969321
19         3     -25.5  95.946805  95.558828  96.250402     PASS         PASS        PASS  95.55235  96.25850  0.199552  0.030291   0.03442  0.001299      0.097324      -0.000345 -18.967436
