         pwr       psd        mean    1stptile   99thptile meantest 1stptiletest 99ptiletest        min        max       std meanerror  minerror  maxerror ptile1sterror ptile99therror   stderror
0   Baseline  Baseline  195.470026  195.080030  196.155840      N/A          N/A         N/A  195.07510  196.17670  0.254744       N/A       N/A       N/A           N/A            N/A        N/A
1        -15     -43.5  195.431262  195.109591  195.984219     PASS         PASS        PASS  195.10545  196.02565  0.240220  0.019831 -0.015558  0.076997     -0.015153       0.087492   5.701361
2        -14     -42.5  195.442349  194.990751  196.120562     PASS         PASS        PASS  194.93905  196.23815  0.280976  0.014159  0.069742 -0.031324      0.045765       0.017985 -10.297276
3        -13     -41.5  195.470443  194.941456  196.026470     PASS         PASS        PASS  194.93590  196.02975  0.292449 -0.000213  0.071357  0.074907      0.071035       0.065953 -14.800985
4        -12     -40.5  195.469607  194.972427  196.166032     PASS         PASS        PASS  194.94385  196.22540  0.290563  0.000214  0.067282 -0.024825      0.055158      -0.005196 -14.060679
5        -11     -39.5  195.403027  194.994152  195.985358     PASS         PASS        PASS  194.98710  196.01660  0.267100  0.034275  0.045111   0.08161      0.044022       0.086912  -4.850289
6        -10     -38.5  195.499415  195.073960  196.090939     PASS         PASS        PASS  195.06410  196.12870  0.296200 -0.015035  0.005639  0.024468      0.003111       0.033086 -16.273436
7         -9     -37.5  195.439363  195.044275  196.119235     PASS         PASS        PASS  195.03915  196.14445  0.337395  0.015687  0.018429  0.016439      0.018328       0.018661 -32.444533
8         -8     -36.5  195.472024  194.956163  196.056216     PASS         PASS        PASS  194.92695  196.14330  0.311240 -0.001022  0.075945  0.017025      0.063496       0.050788 -22.177305
9         -7     -35.5  195.390508  194.925425  195.993999     PASS         PASS        PASS  194.90185  196.02930  0.294858   0.04068  0.088812  0.075136      0.079252       0.082506  -15.74652
10        -6     -34.5  195.398805  194.915671  196.002669     PASS         PASS        PASS  194.89720  196.00845  0.343334  0.036436  0.091196  0.085765      0.084252       0.078086 -34.775779
11        -5     -33.5  195.436782  194.970525  196.129847     PASS         PASS        PASS  194.93875  196.17915  0.317648  0.017007  0.069896 -0.001249      0.056133       0.013251 -24.692803
12        -4     -32.5  195.421225  194.986789  196.171693     PASS         PASS        PASS  194.98640  196.19455  0.332358  0.024966   0.04547 -0.009099      0.047796      -0.008082 -30.467285
13        -3     -31.5  195.437425  194.812633  196.029897     PASS         PASS        PASS  194.71450  196.05380  0.327025  0.016678  0.184852  0.062648       0.13707       0.064206  -28.37384
14        -2     -30.5  195.391338  194.831280  196.067601     PASS         PASS        PASS  194.81285  196.10530  0.356359  0.040256  0.134435  0.036396      0.127512       0.044984 -39.889061
15        -1     -29.5  195.348877  194.830058  195.954336     PASS         PASS        PASS  194.79695  195.96600  0.340019  0.061978  0.142586  0.107403      0.128138       0.102727 -33.474466
16         0     -28.5  195.367892  194.880679  195.960011     PASS         PASS        PASS  194.87170  195.97145  0.326867   0.05225  0.104268  0.104625      0.102189       0.099833 -28.311792
17         1     -27.5  195.407511  194.864326  196.005805     PASS         PASS        PASS  194.85055  196.00765  0.336683  0.031982   0.11511  0.086172      0.110572       0.076488 -32.164995
18         2     -26.5  195.377470  194.846670  196.051720     PASS         PASS        PASS  194.82660  196.05910  0.360155   0.04735  0.127387  0.059946      0.119623        0.05308 -41.379176
19         3     -25.5  195.360399  194.860371  196.188573     PASS         PASS        PASS  194.82140  196.18925  0.341815  0.056084  0.130052 -0.006397        0.1126      -0.016687 -34.179777
