         pwr       psd         mean     1stptile    99thptile meantest 1stptiletest 99ptiletest          min          max       std meanerror  minerror  maxerror ptile1sterror ptile99therror   stderror
0   Baseline  Baseline  2473.735262  2469.230000  2478.690667      N/A          N/A         N/A  2468.746667  2480.203333  2.467667       N/A       N/A       N/A           N/A            N/A        N/A
1        -15     -43.5  2473.750238  2470.048800  2478.902933     PASS         PASS        PASS  2470.043333  2479.630000  2.218471 -0.000605 -0.052523  0.023116      -0.03316      -0.008564  10.098418
2        -14     -42.5  2473.726111  2469.667633  2479.161800     PASS         PASS        PASS  2469.163333  2480.126667  2.407150   0.00037 -0.016878  0.003091     -0.017723      -0.019007   2.452361
3        -13     -41.5  2473.935000  2470.269533  2477.529233     PASS         PASS        PASS  2470.206667  2477.943333  2.056999 -0.008074 -0.059139  0.091122     -0.042099       0.046857  16.641926
4        -12     -40.5  2473.825000  2469.664933  2478.216633     PASS         PASS        PASS  2469.353333  2478.710000  2.285595 -0.003628 -0.024574   0.06021     -0.017614       0.019124   7.378286
5        -11     -39.5  2473.635000  2469.954567  2478.430333     PASS         PASS        PASS  2469.603333  2478.690000  2.333776  0.004053   -0.0347  0.061017     -0.029344       0.010503   5.425789
6        -10     -38.5  2474.038571  2469.885800  2478.803800     PASS         PASS        PASS  2469.593333  2478.866667  2.100063 -0.012261 -0.034295  0.053893     -0.026559      -0.004564  14.896809
7         -9     -37.5  2473.558889  2469.989467  2477.924367     PASS         PASS        PASS  2469.820000  2477.936667  2.122722   0.00713 -0.043477   0.09139     -0.030757       0.030916  13.978571
8         -8     -36.5  2473.607460  2470.066867  2477.585000     PASS         PASS        PASS  2469.976667  2477.653333  1.908707  0.005166 -0.049823  0.102814     -0.033892       0.044607  22.651357
9         -7     -35.5  2473.899127  2469.447967  2478.405000     PASS         PASS        PASS  2469.203333  2478.746667  2.473690 -0.006624 -0.018498  0.058732     -0.008827       0.011525  -0.244084
10        -6     -34.5  2473.909603  2469.156700  2478.999533     PASS         PASS        PASS  2468.526667  2479.073333  2.333495 -0.007048  0.008911  0.045561      0.002969      -0.012461   5.437192
11        -5     -33.5  2474.343254  2469.512000  2478.753067     PASS         PASS        PASS  2469.293333  2478.873333  2.358368 -0.024578 -0.022143  0.053625     -0.011421      -0.002517    4.42922
12        -4     -32.5  2473.838889  2470.303733  2477.921533     PASS         PASS        PASS  2470.260000  2478.050000  2.177128 -0.004189   -0.0613  0.086821     -0.043485        0.03103  11.773801
13        -3     -31.5  2474.736190  2471.068700  2478.690400     PASS         PASS        PASS  2471.040000  2478.783333  2.097351 -0.040462 -0.092895  0.057253     -0.074465       0.000011  15.006701
14        -2     -30.5  2474.307302  2469.859433  2479.998033     PASS         PASS        PASS  2469.773333  2480.680000  2.529537 -0.023125 -0.041587 -0.019219     -0.025491      -0.052744  -2.507239
15        -1     -29.5  2474.795794  2470.764000  2478.909333     PASS         PASS        PASS  2470.736667  2479.346667  2.176877 -0.042872 -0.080608   0.03454     -0.062125      -0.008822  11.783979
16         0     -28.5  2474.090635  2470.568267  2478.812533     PASS         PASS        PASS  2470.530000  2479.036667  2.429638 -0.014366 -0.072236  0.047039     -0.054198      -0.004917   1.541054
17         1     -27.5  2474.094444  2469.932800  2478.247267     PASS         PASS        PASS  2469.626667  2478.250000  2.239938  -0.01452 -0.035646  0.078757     -0.028462       0.017888   9.228478
18         2     -26.5  2473.703730  2469.656667  2478.361067     PASS         PASS        PASS  2469.110000  2478.426667  2.323292  0.001275 -0.014717  0.071634     -0.017279       0.013297   5.850656
19         3     -25.5  2474.304444  2471.289300  2478.513367     PASS         PASS        PASS  2471.263333  2478.976667  2.017871 -0.023009 -0.101941  0.049458     -0.083398       0.007153  18.227586
