         pwr       psd        mean    1stptile   99thptile meantest 1stptiletest 99ptiletest       min       max       std meanerror  minerror  maxerror ptile1sterror ptile99therror   stderror
0   Baseline  Baseline  492.337252  491.557200  493.687200      N/A          N/A         N/A  491.5175  493.8200  0.470718       N/A       N/A       N/A           N/A            N/A        N/A
1        -15     -43.5  492.265333  491.543755  493.328500     PASS         PASS        PASS  491.5210  493.4720  0.435153  0.014608 -0.000712  0.070471      0.002735       0.072657   7.555391
2        -14     -42.5  492.220393  491.586730  493.286730     PASS         PASS        PASS  491.5855  493.3675  0.455633  0.023736 -0.013835  0.091633     -0.006007       0.081118   3.204542
3        -13     -41.5  492.291821  491.526235  493.491465     PASS         PASS        PASS  491.5125  493.6200  0.505061  0.009228  0.001017  0.040501      0.006299       0.039648  -7.295905
4        -12     -40.5  492.307262  491.565515  493.262110     PASS         PASS        PASS  491.5485  493.2740  0.492649  0.006091 -0.006307  0.110567     -0.001692       0.086105  -4.659133
5        -11     -39.5  492.336869  491.585865  493.368615     PASS         PASS        PASS  491.5545  493.4090  0.529395  0.000078 -0.007528  0.083229     -0.005831       0.064532 -12.465481
6        -10     -38.5  492.298155  491.547230  493.569605     PASS         PASS        PASS  491.5460  493.6145  0.545620  0.007941 -0.005798  0.041614      0.002028        0.02382 -15.912353
7         -9     -37.5  492.377810  491.609490  493.596540     PASS         PASS        PASS  491.5935  493.6605  0.512883 -0.008238 -0.015462  0.032299     -0.010638       0.018364  -8.957735
8         -8     -36.5  492.319167  491.500980  493.415590     PASS         PASS        PASS  491.4895  493.4775  0.488098  0.003673  0.005697  0.069357      0.011437       0.055017  -3.692281
9         -7     -35.5  492.300238  491.590855  493.215650     PASS         PASS        PASS  491.5845  493.3325  0.440376  0.007518 -0.013631   0.09872     -0.006847       0.095516    6.44586
10        -6     -34.5  492.410845  491.596215  493.496530     PASS         PASS        PASS  491.5710  493.5035  0.506130 -0.014948 -0.010885  0.064092     -0.007937       0.038622  -7.522999
11        -5     -33.5  492.244548  491.617235  493.229385     PASS         PASS        PASS  491.6035  493.3325  0.409863  0.018829 -0.017497   0.09872     -0.012213       0.092734  12.928157
12        -4     -32.5  492.247560  491.516050  493.179415     PASS         PASS        PASS  491.5140  493.2690  0.439666  0.018218  0.000712  0.111579      0.008371       0.102856    6.59669
13        -3     -31.5  492.280036  491.363275  493.184350     PASS         PASS        PASS  491.3315  493.2110  0.446525  0.011621  0.037842  0.123324      0.039451       0.101856   5.139627
14        -2     -30.5  492.326476  491.533550  493.394385     PASS         PASS        PASS  491.5110  493.4975  0.503044  0.002189  0.001322  0.065307      0.004811       0.059312  -6.867427
15        -1     -29.5  492.280690  491.341790  493.314590     PASS         PASS        PASS  491.2930  493.3765  0.480848  0.011488  0.045675   0.08981      0.043822       0.075475    -2.1522
16         0     -28.5  492.407143  491.578145  493.341730     PASS         PASS        PASS  491.5640  493.4020  0.489700 -0.014196  -0.00946  0.084646     -0.004261       0.069978  -4.032661
17         1     -27.5  492.307595  491.534100  493.645135     PASS         PASS        PASS  491.5095  493.6560  0.546570  0.006024  0.001628   0.03321      0.004699       0.008521 -16.114227
18         2     -26.5  492.245750  491.501240  493.350130     PASS         PASS        PASS  491.4750  493.3530  0.502161  0.018585  0.008647  0.094569      0.011384       0.068276  -6.679891
19         3     -25.5  492.314262  491.506680  493.464390     PASS         PASS        PASS  491.4665  493.4935  0.521738   0.00467  0.010376  0.066117      0.010278       0.045132 -10.838905
