,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,997.6354597701148,995.216133333333,999.7929333333333,N/A,N/A,N/A,995.1933333333328,999.8233333333336,1.3535648835813887,N/A,N/A,N/A,N/A,N/A,N/A
1,-35,-17.2,997.6646031746033,995.6833333333329,1000.2713333333334,PASS,PASS,PASS,995.5999999999996,1000.3433333333334,1.485199753190912,-0.002921247856921424,-0.040863081880246226,-0.052009188289906645,-0.04694457659514776,-0.0478499081209828,-9.725050583554697
2,-34,-16.2,997.5995238095236,995.3499999999998,999.7866666666669,PASS,PASS,PASS,995.333333333333,999.7933333333336,1.5350122278609302,0.0036021134011742784,-0.014067618352234454,0.0030005300936471486,-0.013451014526706212,0.0006267964552946715,-13.405145662426692
3,-33,-15.2,997.9165079365079,995.4106666666665,1000.412,PASS,PASS,PASS,995.3566666666666,1000.4666666666668,1.4880828367737806,-0.028171429116782033,-0.016412221410957332,-0.06434470089714545,-0.019546842823174204,-0.061919488128683906,-9.938049872900937
4,-32,-14.2,997.7049206349207,995.6193333333335,1000.1286666666664,PASS,PASS,PASS,995.6033333333336,1000.1933333333332,1.521717822815736,-0.006962549709472549,-0.041198025174414774,-0.03700653782163679,-0.040513812678064004,-0.033580286691341873,-12.422968508863237
5,-31,-13.2,997.7785714285714,995.6926666666668,1000.1786666666666,PASS,PASS,PASS,995.6033333333336,1000.28,1.420362853259932,-0.01434508537712724,-0.041198025174414774,-0.04567473586997352,-0.04788239633311863,-0.03858132223912082,-4.934966213204564
6,-30,-12.2,997.6253968253966,995.8019999999998,1000.0753333333333,PASS,PASS,PASS,995.7499999999998,1000.19,1.323786856035277,0.0010086795351642338,-0.055935530114780696,-0.03667314558903208,-0.058868284691538576,-0.028245848773757996,2.1999704563346976
7,-29,-11.2,997.728095238095,995.3586666666667,999.5046666666668,PASS,PASS,PASS,995.3200000000002,999.5433333333336,1.3660749009189281,-0.009285502742803134,-0.01272784517588013,0.028004947540729457,-0.014321847140515095,0.02883263694466925,-0.9242273857193496
8,-28,-10.2,997.6284126984127,995.4959999999998,999.8553333333333,PASS,PASS,PASS,995.4866666666665,999.8633333333332,1.6720684525620286,0.0007063774280579305,-0.0294750098808575,-0.004000706791495419,-0.028121194712687744,-0.006241292363607934,-23.530720458550412
9,-27,-9.2,998.1290476190476,996.4853333333331,999.7799999999996,PASS,PASS,PASS,996.4533333333331,999.7899999999996,1.0595513426063856,-0.04947577234739485,-0.12660856516995014,0.0033339223263428334,-0.12753008693187745,0.0012936011950523544,21.721422041998796
10,-26,-8.2,999.2890476190476,996.5813333333333,1002.1306666666666,PASS,PASS,PASS,996.37,1002.1933333333332,1.5031870375443308,-0.16575070911310152,-0.11823498281746146,-0.23704187739829527,-0.13717623280761732,-0.2338217500237006,-11.053932898071189
11,-25,-7.2,1001.2733333333334,999.1166666666664,1003.7853333333329,PASS,PASS,PASS,999.0199999999998,1003.9333333333328,1.4373107604906192,-0.3646495849352494,-0.384514901627182,-0.411072622829955,-0.3919282659003093,-0.3993226864175643,-6.187060400654591
12,-24,-6.2,1006.6990476190476,1003.6233333333331,1009.4286666666665,FAIL,PASS,PASS,1003.433333333333,1009.4366666666664,1.7264665723369628,-0.9085069862113082,-0.8279798230159875,-0.961503198898416,-0.8447612250658957,-0.9637728985748495,-27.54959834425638
13,-23,-5.2,1017.416349206349,1014.3899999999996,1021.71,FAIL,PASS,FAIL,1014.1799999999996,1022.02,1.997951702442029,-1.982777300316916,-1.9078370031953724,-2.220058877068252,-1.9266032798771597,-2.192160590052856,-47.60664425303804
14,-22,-4.2,1033.7639682539682,1030.7746666666662,1036.6899999999998,FAIL,PASS,FAIL,1030.7433333333329,1036.6966666666665,1.859305909636397,-3.621413827068501,-3.5721702315798023,-3.687984877328282,-3.572945829790263,-3.690470840161958,-37.36363377844669
