,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,492.3268879310345,491.048415,493.44518,N/A,N/A,N/A,490.9860000000001,493.4885,0.6567780209470653,N/A,N/A,N/A,N/A,N/A,N/A
1,-50,-32.2,492.271380952381,491.4138,493.15790000000004,PASS,PASS,PASS,491.4,493.1775,0.5810141544050829,0.011274415437022983,-0.08432012318067593,0.06302071882120426,-0.07440915983814007,0.05821923318816345,11.535688486154259
2,-49,-31.2,492.18226190476196,491.1315000000001,493.2724,PASS,PASS,PASS,491.1290000000001,493.3015,0.6062680434231872,0.029376016183132476,-0.029125066702507245,0.03789348687963586,-0.016919920207887535,0.035015034496838904,7.690570620960087
3,-48,-30.2,492.35716666666656,491.39390000000003,493.35380000000004,PASS,PASS,PASS,491.37750000000005,493.3885,0.6746416888492358,-0.006150128374932036,-0.07973750779043615,0.02026389672706981,-0.07035660628291679,0.01851877446648851,-2.7198942918965767
4,-47,-29.2,492.2269523809523,491.1321,493.28860000000003,PASS,PASS,PASS,491.079,493.2995,0.6606769427027499,0.02029861714483335,-0.018941476946369964,0.038298764814167816,-0.017042107752247338,0.03173199503133512,-0.5936437626311599
5,-46,-28.2,492.33540476190467,491.1906,493.18170000000003,PASS,PASS,PASS,491.1815,493.208,0.6591796723778771,-0.0017299138192450757,-0.03981783594642708,0.05684023031944228,-0.02895539332919758,0.05339600236848167,-0.36567171163077067
6,-45,-27.2,492.352380952381,491.0438000000001,493.5569,PASS,PASS,PASS,490.9980000000001,493.59,0.8030930815410051,-0.005178068062388046,-0.0024440615414697063,-0.02056785517798029,0.000939825862158105,-0.022640812906509933,-22.277703566108293
7,-44,-26.2,492.32185714285725,491.3651,493.2446000000001,PASS,PASS,PASS,491.364,493.2900000000001,0.5429932122701492,0.0010218390058642536,-0.0769879385562668,0.04022383500322914,-0.0644916041527202,0.040648892345019665,17.32469800265848
8,-43,-25.2,492.6945952380953,491.7026000000001,493.9336,PASS,PASS,PASS,491.68500000000006,493.9665,0.7556896952295722,-0.07468763459295776,-0.1423665847905959,-0.09686142635542848,-0.13322209786586883,-0.0989816133172117,-15.06013769155636
9,-42,-24.2,493.47126190476195,492.252,494.6724,PASS,PASS,PASS,492.197,494.7355,0.708585662059401,-0.23244190024570804,-0.24664654389328794,-0.2526907921866496,-0.24510515933546642,-0.2487044254845064,-7.888150860716955
10,-41,-23.2,496.8745238095239,495.6606,498.35490000000004,FAIL,PASS,PASS,495.6605,498.398,0.8645839964426636,-0.9237025216316139,-0.9520638062999573,-0.994856009815839,-0.9392525989519814,-0.9949879336140338,-31.64021463384917
11,-40,-22.2,507.83793650793643,502.26466666666647,512.5939999999997,FAIL,PASS,FAIL,502.0699999999998,512.6599999999997,3.1491661111740714,-3.1505588983949098,-2.257498177137376,-3.8848929610314635,-2.284143747142834,-3.8806377640571377,-379.4871342730099
12,-39,-21.2,555.5271428571428,543.993333333333,562.6233333333332,FAIL,PASS,FAIL,542.803333333333,563.2866666666665,4.472434992473932,-12.837051250989465,-10.553729298459189,-14.143828410726195,-10.782015930818762,-14.01942021874309,-580.9659960948053
13,-38,-20.2,631.0631746031744,624.2886666666666,640.8879999999996,FAIL,PASS,FAIL,624.0933333333334,642.2299999999996,3.99957462685303,-28.17970947212905,-27.110209523964677,-30.140823950304735,-27.133831939293934,-29.880283763233756,-508.96901225252566
14,-37,-19.2,,,,PASS,PASS,PASS,,,,,,,,,
15,-36,-18.2,,,,PASS,PASS,PASS,,,,,,,,,
16,-35,-17.2,,,,PASS,PASS,PASS,,,,,,,,,
17,-34,-16.2,,,,PASS,PASS,PASS,,,,,,,,,
18,-33,-15.2,,,,PASS,PASS,PASS,,,,,,,,,
19,-32,-14.2,,,,PASS,PASS,PASS,,,,,,,,,
20,-31,-13.2,,,,PASS,PASS,PASS,,,,,,,,,
21,-30,-12.2,,,,PASS,PASS,PASS,,,,,,,,,
22,-29,-11.2,,,,PASS,PASS,PASS,,,,,,,,,
23,-28,-10.2,,,,PASS,PASS,PASS,,,,,,,,,
24,-27,-9.2,,,,PASS,PASS,PASS,,,,,,,,,
25,-26,-8.2,,,,PASS,PASS,PASS,,,,,,,,,
26,-25,-7.2,,,,PASS,PASS,PASS,,,,,,,,,
27,-24,-6.2,,,,PASS,PASS,PASS,,,,,,,,,
28,-23,-5.2,,,,PASS,PASS,PASS,,,,,,,,,
29,-22,-4.2,,,,PASS,PASS,PASS,,,,,,,,,
30,-21,-3.2,,,,PASS,PASS,PASS,,,,,,,,,
31,-20,-2.2,,,,PASS,PASS,PASS,,,,,,,,,
32,-19,-1.2,,,,PASS,PASS,PASS,,,,,,,,,
33,-18,-0.2,,,,PASS,PASS,PASS,,,,,,,,,
34,-17,0.8,,,,PASS,PASS,PASS,,,,,,,,,
35,-16,1.8,,,,PASS,PASS,PASS,,,,,,,,,
36,-15,2.8,,,,PASS,PASS,PASS,,,,,,,,,
37,-14,3.8,,,,PASS,PASS,PASS,,,,,,,,,
38,-13,4.8,,,,PASS,PASS,PASS,,,,,,,,,
39,-12,5.8,,,,PASS,PASS,PASS,,,,,,,,,
40,-11,6.8,,,,PASS,PASS,PASS,,,,,,,,,
